id,GEOID10,LI1207_AVG,LI0308_AVG,LI0708_AVG,LI1108_AVG,LI0309_AVG,LI1009_AVG,LI0410_AVG,LI0311_AVG,LI1011_AVG,LI0412_AVG,LI1112_AVG,LI0913_AVG,RB_CUSTMR
218,42101024000,2.16,2.56,2.34,2.15,2.14,2.61,2.28,2.33,2.31,1.9,1.7,1.8,153
93,42101009300,2.23,2.19,3.5,2.48,3.24,2.49,2.6,1.96,3.36,1.9,1.7,1.82,368
309,42101033300,1.36,1.61,1.6,1.7,1.5,1.55,1.59,1.09,1.4,1.34,1.2,1.09,324
342,42101036100,1.2,1,1.39,1.29,1.29,1.1,1.2,1.1,1.39,1.1,1,1.12,385
86,42101008701,2.07,2.36,2.32,1.77,2.15,2.11,2.31,1.24,3,1.7,1.48,1.99,164
357,42101037500,1.8,2.7,2.2,1.5,1.8,1.3,1.8,1.2,2,1.8,1.4,1.71,146
166,42101017201,2.12,2.56,2.25,2.4,2.02,2.54,2.43,2.12,2.5,2,1.73,2.03,251
74,42101007800,2.08,2.8,2.46,1.78,2.32,2.4,2.64,1.28,2.3,1.59,1.65,1.89,248
351,42101036502,1.3,1,1.2,1.1,1.1,1.1,1.5,1.1,1,1.1,1,1.1,292
142,42101014700,2.54,3.3,3.19,2.97,2.99,3.33,1.7,2.7,3.45,2.36,2.06,3,134
291,42101031401,1.5,2.33,2.43,2.3,2.16,2.23,1.93,1.2,2.9,1.6,1.06,1.33,257
209,42101021800,1.4,1.3,1.6,1.6,1.1,1.1,1.8,1,1.3,1.4,1,1.2,162
179,42101018300,1.7,2.2,1.8,1.9,1.7,1.8,1.5,1,1.5,1.3,1.4,1.07,406
307,42101033102,1.22,1.32,1.64,1.74,1.46,1.4,1.65,1.15,1.57,1.22,1.08,1.17,400
280,42101030501,1.5,2.4,2,1.7,1.8,1.6,1.2,1,1.2,1.5,1,1.5,214
162,42101016901,2.49,2.59,3.27,2.1,3.07,2.21,3.57,2.9,3.59,2.28,1.88,2.19,311
314,42101033702,1.41,1,1.47,1.36,1.28,1.18,1.41,1.2,1.17,1.56,1,1.3,346
182,42101019000,2.46,2.44,2.24,2.46,2.04,2.09,2.38,2.86,3.24,1.99,1.71,1.59,596
94,42101009400,2.6,2.4,3.5,1.7,3.3,2.6,2.5,1.7,3.1,1.9,1.5,1.71,395
250,42101027300,2.04,2.29,2.84,2.64,2.56,2.71,2.04,2.01,3.29,1.6,1,1.51,286
229,42101025300,1.5,1.6,1.9,1.1,1.6,2.2,1.2,1.6,1.5,2.5,1,1.73,163
106,42101010700,2.1,1.9,3.1,2.4,2.8,2.5,1.6,2.4,3.6,2,2,1.93,169
75,42101007900,2,2.78,2.39,1.7,2.29,2.39,2.59,1.1,2.02,1.7,1.69,1.99,390
359,42101037700,3,3,3.43,2.71,3.1,2.7,2.52,2.81,3.66,2.23,1.96,2.35,160
249,42101027200,2.16,2.37,2.96,2.84,2.67,2.86,2.08,2.23,3.45,1.6,1,1.3,100
20,42101001400,2.51,2.75,3.35,2.6,3.4,1.94,2.25,2.34,2.62,1.95,1.52,2.55,313
114,42101011500,2.19,2.7,2.49,1.59,2.29,2.28,2.19,1.49,3.27,1.6,1.4,1.71,259
334,42101035500,1.48,1,1.32,1.15,1.22,1.1,1.5,1.18,1.01,1.35,1,1.27,463
354,42101036900,2,2.79,2.4,1.7,2.3,2.4,2.59,1.11,2.01,1.7,1.7,1.98,4
254,42101027600,1.9,2.3,3.2,2.2,2.9,2.9,2.5,2.2,3.3,1.3,1,1.25,336
284,42101030800,1.55,2.33,2.04,1.78,1.83,1.67,1.31,1,1.42,1.51,1,1.48,294
296,42101031700,2.4,2.43,2.45,2.02,2.25,2.33,1.53,1.49,3.39,1.56,1.82,1.31,326
53,42101004202,2.6,2.2,2.5,2.5,2.3,1.9,1.5,1.7,3.1,2.2,1.3,1.6,262
239,42101026301,1.2,2,2.1,1.5,1.9,1.6,1.3,1.1,2,1.9,1,1.47,172
300,42101032100,2.6,2.5,2.6,2.1,2.4,2.5,1.6,1.6,3.7,1.6,1.9,1.33,304
356,42101037300,0.95,0.89,1.2,0.85,1.08,0.68,0.63,0.73,0.8,0.86,0.51,0.57,358
278,42101030100,2.41,1.95,2.78,1.91,2.4,2.22,1.32,1.41,3.33,1.78,1.99,1.33,378
96,42101009600,2.24,2.61,2.8,1.73,2.64,2.43,2.24,1.58,3.38,1.77,1.66,1.71,357
326,42101034801,1.06,1.06,1.53,1.63,1.36,1.3,1.7,1.2,1.5,1.26,1,1.17,189
191,42101020101,2.1,2.6,2.3,2.4,2.1,2.5,2.5,2,2.4,2.1,1.8,2.03,209
178,42101018002,2.7,3.2,2.8,2.9,2.6,2,2.3,3,3.1,1.8,1.6,1.65,499
